89500-175|Rosa Dalla Chiesa Baú
89507-800|Rosa de Lima, Santa
89506-012|Rossetti, Santo
89500-037|Rui Barbosa
89514-899|Rural
89511-057|Sabiá
89504-754|Sadi Antonio Cofferri
89500-205|Salgado Filho, Senador
89500-220|Salgado Filho, Senador
89500-296|Salgado Filho, Senador
89509-021|Salgado Filho, Senador
89509-042|Salgado Filho, Senador
89507-540|Salomão Gioppo Carneiro
89510-580|Salvador
89504-859|Salvador Antunes Abrão
89500-166|Sampaio, General
89509-030|Santiago Rodrigues
89509-483|Santiago Rodrigues
89505-047|Santina Dagani Menin
89503-272|Santos Mario Scapineli
89503-232|Savoia Assef
89500-473|Sebastiana de Paula Carneiro Driessen
89501-190|Sebastião Antônio de Souza
89504-625|Sebastião Carneiro
89507-076|Sebastião dos Santos
89500-410|Sebastião G do Nascimento
89509-492|Sebastião Gonçalves Cordeiro
89509-183|Sebastião Gonçalves Cordeiro
89509-171|Sebastião Gonçalves Cordeiro
89510-695|Sebastião Velasques
89500-383|Selvino Caramori, Comendador
89500-446|Selvino Caramori, Comendador
89510-531|Selvino Caramori, Comendador
89510-528|Selvino Caramori, Comendador
89511-154|Seny Hartkoff dos Santos
89506-475|Sergipe
89501-444|Serra da Pedra Branca
89501-435|Serra da Taquara Verde
89501-429|Serra do Espigão
89501-441|Serra do Irani
89501-438|Serra do Rio do Rastro
89501-432|Serra Geral
89500-133|Sete de Setembro
89500-052|Siegfried Helmuth Lührs
89509-645|Silvério Corrêa dos Santos
89510-845|Silvério Sinkere
89503-244|Silvestre Petrykowski
89510-812|Silvio Gioppo
89509-386|Silvio Matiello
89506-535|Silvio Santi
89500-422|Simpliciano Corrêa de Miranda
89504-787|Solon Coelho de Souza
89505-044|Sulemar Silveira
89506-668|Sylvano Proêncio
89504-829|Taió
89501-330|Tamoio
89504-832|Tangará
89511-142|Telmo Tadeu Siqueira
89500-758|Teodora
89509-254|Teófilo Gomes de Mattos
89509-374|Teófilo Zarur
89510-830|Tereza de Freitas Muller
89501-396|Tereza Diva Garcia
89500-317|Terezina
89510-486|Terezina
89504-757|Thomas Pieters, Padre
89511-039|Tic
89504-628|Tijucas
89500-404|Timbó
89503-094|Tiradentes
89504-670|Tomaz, Irmão
89504-619|Tomaz Padilha
89503-382|Tomaz Padilha
89503-275|Tomaz Wisniewski
89501-305|Tremembé
89504-634|Tubarão
89504-699|Tubarão
89501-004|Tulipas, das
89509-060|Tupi
89509-051|Tupinambá
89501-320|Tupiniquim
89506-790|Ursula Scapinelli Montovani
89504-542|Uruguai
89504-616|Urussanga
89509-615|Valdir Morais
89507-732|Valmor Francisco Schmitt
89510-650|Venceslau Gonçalves Vieira
89504-536|Venezuela
89506-018|Venezuela
89507-728|Vera Lúcia de Oliveira Pinto, Professora
89510-800|Vergilio Antonio da Silva
89503-266|Vergínia Scapineli
89511-235|Vicente Berardi
89500-142|Victor Baptista Adami
89500-139|Victor Baptista Adami
89500-196|Victor Baptista Adami
89500-199|Victor Baptista Adami
89510-534|Victor Hugo Petry
89500-746|Victoria Ançay Portela
89507-640|Victório Poletto
89509-368|Victório Poletto
89509-720|Victório Poletto
89506-433|Vidal Chaves
89506-039|Vidal Ramos, Coronel
89506-415|Vidal Ramos, Coronel
89500-323|Videira
89501-020|Violetas, das
89503-149|Vital Antonio Almeida
89511-012|Vitoldo Gurski
89503-067|Vitor Konder
89509-665|Vitor Krüger
89501-399|Vitor Lezan
89500-034|Vitor Meireles
89510-586|Vitória
89501-016|Vitória
89509-380|Vitório Bianchi
89503-143|Vitório Chiarello
89503-135|Vitório Chiarello
89511-255|Vitório Recalcatti
89506-744|Waldemar Fauth
89506-517|Waldomiro Witiuk
89503-146|Wilamir Antônio Giaretta
89500-338|Xapecó
89501-315|Xavantes
89500-308|Xaxim
89506-045|XV de Novembro
89510-629|Zaki Thomé
89507-555|Zélio Rodrigues
89500-202|1º de Maio
89509-003|1º de Maio
89500-208|13 de Maio
89500-061|25 de Março
